6.8,303.0
12.8,294.0
10.3,284.8
6.7,273.5
5.4,228.7
2.9,235.5
2.3,281.5
3.8,356.4
5.4,347.8
7.6,354.5
8.8,2.0
7.0,9.1
4.5,2.4
5.7,4.0
5.8,43.6
7.9,357.4
9.6,340.6
4.0,287.2
0.9,263.9
1.1,106.9
6.9,337.4
11.2,309.0
14.3,299.7
27.4,306.1
33.2,321.5
39.8,323.4
109.1,93.8
96.4,89.2
91.5,86.4
88.0,84.9
84.4,84.9
79.5,85.7
78.1,85.3
79.2,85.2
77.6,83.2
76.5,80.5
77.2,83.9
70.2,80.8
60.2,83.9
55.3,80.6
48.6,78.0
43.6,78.8
41.5,79.7
31.9,74.5
29.2,67.4
20.1,65.8
18.8,57.6
20.5,56.5
20.2,53.8
24.4,22.9
28.3,11.2
29.3,354.1
28.5,339.2
27.8,309.6
28.9,294.8
30.9,273.3
38.7,262.0
46.4,257.4
59.7,252.3
67.3,250.3
78.7,246.6
87.4,243.4
100.2,241.2
112.1,236.3
131.8,233.9
140.8,234.2
156.7,233.0
164.7,232.8
175.4,231.6
193.0,231.5
212.2,232.0
224.0,232.2
234.4,232.7
253.0,231.8
264.2,233.0
274.1,233.8
279.5,232.2
