16.0,95.4
9.8,75.0
9.2,89.8
7.7,100.8
4.1,275.5
2.4,181.1
10.4,139.8
15.0,157.8
14.1,181.3
20.5,201.5
29.2,181.7
29.5,186.1
29.5,186.1
63.0,183.9
55.5,193.2
59.8,197.1
88.4,183.5
52.9,112.7
58.6,102.4
51.8,100.3
53.7,103.6
48.2,101.2
50.9,101.7
54.3,95.3
57.4,99.3
64.4,99.9
72.9,97.7
76.6,95.4
74.4,95.0
76.6,93.1
80.9,90.3
75.9,91.9
75.0,90.3
75.4,86.0
72.4,86.3
68.6,83.0
65.6,79.0
60.8,73.3
54.2,74.6
53.2,76.6
45.7,72.2
39.3,59.5
38.3,55.0
29.1,45.6
25.5,34.6
27.4,16.6
36.0,11.1
47.9,19.1
52.9,14.9
61.4,17.0
69.7,19.9
81.0,18.1
89.9,20.5
102.9,20.0
110.6,26.0
126.4,28.0
132.1,25.3
145.9,26.2
153.9,24.6
166.4,21.7
177.6,24.9
186.2,20.9
191.2,19.3
198.0,13.4
202.0,8.5
203.1,6.8
207.9,4.6
215.6,1.6
217.0,2.0
229.8,359.2
230.9,357.7
230.4,355.8
226.9,354.7
217.6,353.9
207.5,352.7
192.7,350.8
181.7,347.2
167.5,343.6
163.2,343.1
156.5,339.8
151.6,336.2
147.9,334.8
141.1,330.5
135.1,329.2
127.0,326.8
121.0,324.9
110.0,318.6
108.0,314.6
108.2,305.9
112.5,298.3
123.1,287.3
138.0,282.0
142.7,277.9
151.1,277.3
166.4,274.9
169.7,272.3
171.3,269.5
174.8,268.2
173.0,264.7
169.9,262.4
162.5,259.4
160.9,257.1
162.6,252.6
156.1,249.3
157.3,245.9
163.0,245.7
176.8,246.6
179.7,244.5
193.5,241.8
195.1,241.9
211.0,238.2
217.3,236.3
225.6,235.9
235.3,234.3
253.4,233.5
262.0,233.1
275.2,232.4
288.8,231.8
304.0,232.5
316.5,232.3
325.2,231.6
336.4,230.9
355.3,230.5
363.6,229.7
367.4,228.6
366.6,228.6
357.3,227.3
354.9,225.7
345.4,225.3
333.7,224.5
320.1,224.8
312.2,225.7
302.1,226.3
290.6,225.0
280.6,225.0
271.4,225.8
255.8,225.4
247.0,225.7
236.0,225.0
228.7,225.2
218.7,225.0
207.3,224.0
193.4,223.8
185.4,224.5
174.1,223.6
171.4,224.3
163.6,220.7
161.2,218.8
157.5,217.3
161.4,212.8
159.3,210.4
153.4,205.9
156.8,203.5
147.9,198.4
152.1,194.3
148.6,192.5
153.1,193.7
154.9,193.1
155.1,192.0
153.0,190.3
150.5,188.4
150.4,185.0
138.6,180.7
133.7,178.3
131.1,177.0
127.1,173.4
126.2,170.7
123.7,171.5
116.7,172.1
103.3,167.3
102.2,158.7
102.0,149.0
96.9,145.9
82.4,145.1
81.7,141.1
81.0,137.3
69.6,138.9
71.2,134.7
69.0,134.0
71.6,132.4
69.5,130.6
56.2,126.5
45.5,122.1
41.0,118.0
28.3,126.1
15.8,150.5
8.5,152.6
8.3,288.1
23.4,287.2
27.0,301.3
19.4,342.7
28.3,3.5
32.8,4.1
45.8,10.6
51.0,7.7
66.7,12.8
76.0,22.4
91.2,19.6
97.1,27.5
113.1,26.5
126.3,26.3
140.5,27.9
148.9,28.0
161.4,26.4
165.2,23.6
