30.4,96.5
35.8,90.9
38.0,86.4
37.0,82.0
36.0,79.6
36.2,81.6
37.4,84.3
39.8,86.0
43.2,84.0
49.3,80.2
51.7,80.0
53.6,79.3
53.2,80.4
53.7,78.2
59.6,74.2
62.3,72.8
65.7,71.9
65.7,73.5
48.5,63.6
37.4,19.5
32.2,23.4
45.6,10.7
51.1,10.1
56.4,13.4
56.4,13.4
45.0,80.4
45.7,85.5
42.8,81.7
38.5,84.6
33.3,86.4
32.0,77.9
27.4,71.8
23.8,75.2
21.1,87.7
24.5,83.0
23.9,84.3
14.9,93.4
15.6,95.8
18.8,105.5
18.6,102.5
8.9,113.8
5.9,108.6
7.1,138.9
11.7,204.5
21.7,206.7
23.6,194.3
40.0,212.4
41.5,189.7
47.2,177.6
51.1,174.4
60.8,160.2
75.6,140.0
90.4,140.2
101.9,136.9
112.6,135.7
124.6,132.4
126.3,127.0
133.5,120.5
116.5,117.4
110.7,116.0
108.5,110.9
104.0,108.8
100.0,105.9
95.8,105.5
93.7,104.0
89.8,107.6
80.8,104.8
86.0,93.4
81.8,83.9
80.6,80.0
74.6,76.3
73.6,69.3
67.7,64.7
59.1,52.8
40.2,36.0
36.1,21.3
36.4,1.9
40.8,352.0
47.3,335.7
48.9,327.2
57.3,331.0
58.4,337.0
56.1,333.0
57.5,326.7
58.4,313.8
51.9,308.1
52.3,296.5
56.7,279.9
60.0,273.7
66.2,272.1
71.8,262.6
63.0,253.8
63.9,248.2
57.1,252.9
57.5,256.1
48.5,260.9
46.8,267.5
41.6,275.7
43.9,278.6
57.4,286.9
60.4,288.6
71.3,287.4
79.8,288.5
84.2,291.8
88.5,290.6
92.7,275.4
94.1,271.2
105.4,267.1
109.4,265.5
123.6,261.3
121.9,256.8
120.0,249.2
118.0,244.5
117.5,238.4
117.4,234.8
115.7,228.4
102.7,227.0
90.6,224.6
86.9,225.4
84.7,227.1
80.4,228.0
71.7,225.4
71.8,225.6
62.4,211.9
59.5,206.8
52.0,195.2
49.4,190.4
48.1,181.9
52.6,171.2
54.1,161.0
49.8,149.9
46.1,144.8
41.7,143.5
36.3,138.2
34.8,132.1
31.3,121.7
23.1,114.9
21.0,101.1
23.7,97.3
27.7,98.0
38.5,99.7
47.7,98.4
54.3,99.9
56.1,104.5
64.4,108.7
67.9,110.3
68.1,108.7
66.6,107.0
59.5,110.5
54.5,111.0
47.6,112.3
44.9,113.8
42.4,115.9
46.0,117.6
46.5,123.4
47.5,120.4
47.5,120.4
47.5,120.4
62.2,115.7
69.3,106.5
79.8,108.0
64.6,119.1
78.1,118.8
